Instances of a shape	<http://schema.org/GolfCourse>	299
Instances of a shape	<http://schema.org/GovernmentBuilding>	2756
Instances of a shape	<http://schema.org/GovernmentOffice>	7505
Instances of a shape	<http://schema.org/GovernmentOrganization>	4447
Instances of a shape	<http://schema.org/GroceryStore>	16
Instances of a shape	<http://schema.org/HealthAndBeautyBusiness>	26
Instances of a shape	<http://schema.org/HealthClub>	23
Instances of a shape	<http://schema.org/HinduTemple>	1464
Instances of a shape	<http://schema.org/Hospital>	4076
Instances of a shape	<http://schema.org/Hostel>	16
Instances of a shape	<http://schema.org/Hotel>	2950
Instances of a shape	<http://schema.org/House>	12765
Instances of a shape	<http://schema.org/IceCreamShop>	6
Instances of a shape	<http://schema.org/ImageObject>	0
Instances of a shape	<http://schema.org/InfectiousDisease>	222
Instances of a shape	<http://schema.org/Joint>	11
Instances of a shape	<http://schema.org/LakeBodyOfWater>	8100
Instances of a shape	<http://schema.org/Landform>	75170
Instances of a shape	<http://schema.org/LandmarksOrHistoricalBuildings>	2826
Instances of a shape	<http://schema.org/Language>	4991
Instances of a shape	<http://schema.org/Legislation>	5235
Instances of a shape	<http://schema.org/Library>	1853
Instances of a shape	<http://schema.org/Ligament>	19
Instances of a shape	<http://schema.org/LiquorStore>	3
Instances of a shape	<http://schema.org/LocalBusiness>	49862
Instances of a shape	<http://schema.org/LodgingBusiness>	3262
Instances of a shape	<http://schema.org/Manuscript>	1763
Instances of a shape	<http://schema.org/Map>	48
Instances of a shape	<http://schema.org/MediaObject>	0
Instances of a shape	<http://schema.org/MedicalBusiness>	42
Instances of a shape	<http://schema.org/MedicalClinic>	25
Instances of a shape	<http://schema.org/MedicalCondition>	2578
Instances of a shape	<http://schema.org/MedicalDevice>	48
Instances of a shape	<http://schema.org/MedicalEntity>	5832
Instances of a shape	<http://schema.org/MedicalGuideline>	0
Instances of a shape	<http://schema.org/MedicalOrganization>	4491
Instances of a shape	<http://schema.org/MedicalProcedure>	318
Instances of a shape	<http://schema.org/MedicalSign>	340
Instances of a shape	<http://schema.org/MedicalSignOrSymptom>	443
Instances of a shape	<http://schema.org/MedicalSpecialty>	123
Instances of a shape	<http://schema.org/MedicalSymptom>	109
Instances of a shape	<http://schema.org/MedicalTest>	151
Instances of a shape	<http://schema.org/MedicalTherapy>	2
Instances of a shape	<http://schema.org/MiddleSchool>	410
Instances of a shape	<http://schema.org/MobileApplication>	262
Instances of a shape	<http://schema.org/Mosque>	1370
Instances of a shape	<http://schema.org/Motel>	26
Instances of a shape	<http://schema.org/Motorcycle>	42
Instances of a shape	<http://schema.org/Mountain>	17194
Instances of a shape	<http://schema.org/Movie>	95782
Instances of a shape	<http://schema.org/MovieSeries>	0
Instances of a shape	<http://schema.org/MovieTheater>	1281
Instances of a shape	<http://schema.org/Muscle>	165
Instances of a shape	<http://schema.org/Museum>	8566
Instances of a shape	<http://schema.org/MusicAlbum>	92363
Instances of a shape	<http://schema.org/MusicComposition>	25441
Instances of a shape	<http://schema.org/MusicGroup>	25166
Instances of a shape	<http://schema.org/MusicPlaylist>	92363
Instances of a shape	<http://schema.org/MusicRelease>	0
Instances of a shape	<http://schema.org/MusicVenue>	1119
Instances of a shape	<http://schema.org/NGO>	4807
Instances of a shape	<http://schema.org/NailSalon>	0
Instances of a shape	<http://schema.org/Nerve>	32
Instances of a shape	<http://schema.org/NewsArticle>	37
Instances of a shape	<http://schema.org/Newspaper>	5368
Instances of a shape	<http://schema.org/NightClub>	200
Instances of a shape	<http://schema.org/Occupation>	3334
Instances of a shape	<http://schema.org/OceanBodyOfWater>	19
Instances of a shape	<http://schema.org/Optician>	0
Instances of a shape	<http://schema.org/Organization>	220674
Instances of a shape	<http://schema.org/OutletStore>	58
Instances of a shape	<http://schema.org/Painting>	4847
Instances of a shape	<http://schema.org/Park>	4044
Instances of a shape	<http://schema.org/ParkingFacility>	162
Instances of a shape	<http://schema.org/PawnShop>	3
Instances of a shape	<http://schema.org/PerformingArtsTheater>	2584
Instances of a shape	<http://schema.org/PerformingGroup>	25626
Instances of a shape	<http://schema.org/Periodical>	20983
Instances of a shape	<http://schema.org/Person>	1179208
Instances of a shape	<http://schema.org/PetStore>	5
Instances of a shape	<http://schema.org/Pharmacy>	17
Instances of a shape	<http://schema.org/Photograph>	78
Instances of a shape	<http://schema.org/PhysicalExam>	10
Instances of a shape	<http://schema.org/Place>	352787
Instances of a shape	<http://schema.org/PlaceOfWorship>	21442
Instances of a shape	<http://schema.org/Play>	3566
Instances of a shape	<http://schema.org/Playground>	0
Instances of a shape	<http://schema.org/PodcastSeries>	365
Instances of a shape	<http://schema.org/PoliceStation>	47
Instances of a shape	<http://schema.org/Pond>	97
Instances of a shape	<http://schema.org/PostOffice>	343
Instances of a shape	<http://schema.org/Poster>	9
Instances of a shape	<http://schema.org/Preschool>	12
Instances of a shape	<http://schema.org/Product>	36349
Instances of a shape	<http://schema.org/ProductModel>	0
Instances of a shape	<http://schema.org/PublicSwimmingPool>	1
Instances of a shape	<http://schema.org/PublicToilet>	4
Instances of a shape	<http://schema.org/PublicationIssue>	2
Instances of a shape	<http://schema.org/PublicationVolume>	1
Instances of a shape	<http://schema.org/QuantitativeValue>	0
Instances of a shape	<http://schema.org/RadiationTherapy>	2
Instances of a shape	<http://schema.org/RadioChannel>	16
Instances of a shape	<http://schema.org/RadioSeries>	121
Instances of a shape	<http://schema.org/RadioStation>	14503
Instances of a shape	<http://schema.org/Rating>	1
Instances of a shape	<http://schema.org/RecyclingCenter>	2
Instances of a shape	<http://schema.org/Report>	103
Instances of a shape	<http://schema.org/Reservoir>	1760
Instances of a shape	<http://schema.org/Resort>	248
Instances of a shape	<http://schema.org/Restaurant>	1492
Instances of a shape	<http://schema.org/RiverBodyOfWater>	24523
Instances of a shape	<http://schema.org/ScholarlyArticle>	113
Instances of a shape	<http://schema.org/School>	15105
Instances of a shape	<http://schema.org/Sculpture>	3183
Instances of a shape	<http://schema.org/SeaBodyOfWater>	78
Instances of a shape	<http://schema.org/SelfStorage>	1
Instances of a shape	<http://schema.org/Service>	1012
Instances of a shape	<http://schema.org/SheetMusic>	0
Instances of a shape	<http://schema.org/ShoeStore>	1
Instances of a shape	<http://schema.org/ShoppingCenter>	2182
Instances of a shape	<http://schema.org/SkiResort>	468
Instances of a shape	<http://schema.org/SocialMediaPosting>	53
Instances of a shape	<http://schema.org/SoftwareApplication>	18224
Instances of a shape	<http://schema.org/Specialty>	1295
Instances of a shape	<http://schema.org/SportsActivityLocation>	6003
Instances of a shape	<http://schema.org/SportsEvent>	39507
Instances of a shape	<http://schema.org/SportsOrganization>	17289
Instances of a shape	<http://schema.org/SportsTeam>	14961
Instances of a shape	<http://schema.org/StadiumOrArena>	5167
Instances of a shape	<http://schema.org/State>	158
Instances of a shape	<http://schema.org/Store>	316
Instances of a shape	<http://schema.org/Substance>	1751
Instances of a shape	<http://schema.org/SubwayStation>	7213
Instances of a shape	<http://schema.org/SurgicalProcedure>	77
Instances of a shape	<http://schema.org/Synagogue>	699
Instances of a shape	<http://schema.org/TVEpisode>	7893
Instances of a shape	<http://schema.org/TVSeason>	5496
Instances of a shape	<http://schema.org/TVSeries>	26194
Instances of a shape	<http://schema.org/TattooParlor>	0
Instances of a shape	<http://schema.org/TelevisionChannel>	2557
Instances of a shape	<http://schema.org/TelevisionStation>	3527
Instances of a shape	<http://schema.org/TennisComplex>	45
Instances of a shape	<http://schema.org/TheaterGroup>	290
Instances of a shape	<http://schema.org/TherapeuticProcedure>	2
Instances of a shape	<http://schema.org/Thesis>	3
Instances of a shape	<http://schema.org/Thing>	2759960
Instances of a shape	<http://schema.org/TouristAttraction>	1629
Instances of a shape	<http://schema.org/TouristInformationCenter>	17
Instances of a shape	<http://schema.org/ToyStore>	1
Instances of a shape	<http://schema.org/TrainStation>	28064
Instances of a shape	<http://schema.org/TravelAgency>	12
Instances of a shape	<http://schema.org/Vehicle>	6123
Instances of a shape	<http://schema.org/Vein>	130
Instances of a shape	<http://schema.org/Vessel>	347
Instances of a shape	<http://schema.org/VideoGame>	16730
Instances of a shape	<http://schema.org/VideoGameSeries>	678
Instances of a shape	<http://schema.org/VideoObject>	0
Instances of a shape	<http://schema.org/VisualArtwork>	13828
Instances of a shape	<http://schema.org/Volcano>	512
Instances of a shape	<http://schema.org/Waterfall>	1338
Instances of a shape	<http://schema.org/WebPage>	28
Instances of a shape	<http://schema.org/WebSite>	3965
Instances of a shape	<http://schema.org/Winery>	364
Instances of a shape	<http://schema.org/WorkersUnion>	1406
Instances of a shape	<http://schema.org/Zoo>	674
Not disjoint classes	*	267
